date,volume_google,score_twitter,volume_twitter
1441699200,65,-0.296,1
1441702800,63,-0.1027,1
1441706400,61,0.9032,1
1441710000,59,0,0
1441713600,65,0.289430657283872,1
1441717200,62,0.209623274409903,3
1441720800,61,0.429225,4
1441724400,62,-0.0326,2
1441728000,65,-0.024210561053038,5
1441731600,68,0.130466666666667,3
1441735200,64,0.105563265026985,2
1441738800,64,0.092474724273826,5
1441742400,64,0.6486,1
1441746000,69,0.084214934816659,3
1441749600,72,0.4571,2
1441753200,81,0.43778744144229,2
1441756800,87,0.079150063390175,9
1441760400,69,0.158549202408761,3
1441764000,66,0,0
1441767600,65,0,0
1441771200,73,0,0
1441774800,75,0,0
1441778400,71,0,0
1441782000,59,0.066070329093382,1
1441785600,65,0.5994,1
1441789200,61,0.004422561782427,3
1441792800,62,0.4926,1
1441796400,66,0,0
1441800000,60,0.168615957303214,6
1441803600,56,0.145934891173139,5
1441807200,56,-0.261242520595843,3
1441810800,56,0.166460892192543,12
1441814400,62,-0.016861081567814,7
1441818000,65,0.152809369562965,5
1441821600,64,0.194360424421402,6
1441825200,61,0.392605690457701,2
1441828800,63,0.038447073794195,16
1441832400,64,0.135205340564809,9
1441836000,86,0.088865511278606,2
1441839600,85,0,0
1441843200,81,0.066964126073751,1
1441846800,73,0.110825018792067,3
1441850400,74,-0.052795742986605,2
1441854000,71,0.212458712216006,1
1441857600,73,0,0
1441861200,71,0,0
1441864800,68,0,0
1441868400,66,0.109567378356203,1
1441872000,61,0.492387547867439,2
1441875600,59,-0.015070063809484,3
1441879200,57,0.22426247683229,9
1441882800,58,0,0
1441886400,54,-0.113099156423298,3
1441890000,57,0.021711788718549,1
1441893600,57,-0.334623003769591,2
1441897200,61,0.150557282366815,6
1441900800,64,0.204687989210416,8
1441904400,62,0.426161732066668,4
1441908000,60,0.426710888348923,3
1441911600,68,0.013703924037069,11
1441915200,66,0.112973054964966,11
1441918800,70,0.265259867907737,5
1441922400,69,0.725,1
1441926000,73,0.160442682907762,1
1441929600,83,0,0
1441933200,69,0.291163046355583,2
1441936800,68,0,0
1441940400,74,0.8941,2
1441944000,68,0.06756253634824,4
1441947600,69,0,0
1441951200,68,0.4404,1
1441954800,64,0.098464066903182,2
1441958400,69,0,0
1441962000,64,0.159778934248862,2
1441965600,61,0.087298363637995,2
1441969200,64,0,0
1441972800,59,0.37605,2
1441976400,55,0.4926,1
1441980000,58,0.076357250935949,1
1441983600,60,0.13296531239067,5
1441987200,61,0.277133433251946,5
1441990800,64,-0.028537742712059,3
1441994400,63,0.170329316497462,4
1441998000,60,0.234487295814253,6
1442001600,62,0.265666438437124,6
1442005200,64,0.218751175736384,4
1442008800,69,0.233342691398291,4
1442012400,70,0.273477554185742,3
1442016000,82,0.331914541625487,2
1442019600,73,0,0
1442023200,85,0.06816906898583,1
1442026800,73,0.5106,1
1442030400,67,0.235735471510862,1
1442034000,64,0.22321150616832,2
1442037600,64,0.465984735454175,5
1442041200,67,0,0
1442044800,60,0,0
1442048400,53,-0.096175,3
1442052000,54,0,0
1442055600,53,0,0
1442059200,53,0,0
1442062800,50,0,0
1442066400,47,0.03150976597535,3
1442070000,53,0.367582060971227,3
1442073600,51,0.142332033933702,6
1442077200,53,0.314096252790046,9
1442080800,53,0.7088,1
1442084400,57,-0.06635,2
1442088000,57,0.266449330953178,3
1442091600,63,0.396495401116101,2
1442095200,57,0.223441763575561,5
1442098800,66,0.16422121694113,3
1442102400,66,-0.1394,5
1442106000,78,0.112433584927477,1
1442109600,78,0.043218930621101,1
1442113200,84,0,0
1442116800,72,0.12310862133107,1
1442120400,67,0.154391386099801,1
1442124000,66,0,0
1442127600,66,0.081945793460488,3
1442131200,62,0,0
1442134800,55,0,0
1442138400,54,0,0
1442142000,55,0,0
1442145600,56,0.026564022946807,1
1442149200,52,0.273286700870924,9
1442152800,51,0.071617791279922,6
1442156400,53,0.331692945824244,5
