date,score_twitter,volume_gg,volume_twitter,volume_wiki
1505606400,0.16379915940249,151,27,4050
1505692800,0.019991427310779,175,30,6403
1505779200,0.08751906850789,176,38,8264
1505865600,0.067160921917668,234,46,6059
1505952000,0.044716503659529,199,30,5201
1506038400,0.096276728198884,183,41,4907
1506124800,0.139536760134987,209,45,3543
1506211200,0.113319690368662,256,37,3507
1506297600,0.068669311606161,225,32,4459
1506384000,0.118743114718636,189,31,4500
1506470400,0.10393284538016,195,32,4362
1506556800,0.192255296997304,208,48,4073
1506643200,0.189999397406504,262,26,3727
1506729600,0.0444657119899,267,40,3000
1506816000,0.106574226733701,285,42,3199
1506902400,0.099178378048273,279,35,4037
1506988800,0.156488672526296,308,58,3930
1507075200,0.210255294168874,287,45,3886
1507161600,0.061319876581586,258,28,3946
1507248000,0.081848792492783,252,29,3681
1507334400,0.020656520739291,272,41,2981
1507420800,0.075141867978211,284,29,3338
1507507200,0.149308229773845,279,41,4283
1507593600,0.093082290918268,271,30,4239
1507680000,0.107856435578751,278,31,4305
1507766400,0.044280754138202,233,50,5182
1507852800,0.099126620293375,76,36,5499
1507939200,0.091114994431127,92,43,4163
1508025600,0.093157708167933,103,43,4317
1508112000,0.192371329539733,96,43,5785
1508198400,0.099705894427141,102,32,5866
1508284800,0.064612753231029,147,50,5106
1508371200,0.132487395025107,175,29,5071
1508457600,0.09883139796134,201,44,4986
1508544000,0.146437752508609,249,42,4472
1508630400,0.141036478724514,250,33,4396
1508716800,0.185977026606999,217,29,6092
1508803200,0.199580046844382,197,41,6012
1508889600,0.180105482297168,174,35,6001
1508976000,0.161371379846926,199,38,5334
1509062400,0.191883337732574,201,31,5179
1509148800,0.06286615750731,183,29,3737
1509235200,0.155669289217974,220,36,4950
1509321600,0.164543860693046,204,28,5892
1509408000,0.062689692817681,180,27,5770
1509494400,0.227351343755102,176,41,6518
1509580800,0.104529173563832,149,27,7543
1509667200,0.180674211317193,85,64,6491
1509753600,0.138708105432794,102,34,5175
1509840000,0.050062346431304,110,37,5407
1509926400,0.057387082822623,117,48,6706
1510012800,0.154953453948162,153,30,7106
1510099200,0.089040667046598,171,115,8177
1510185600,0.036900884757731,149,91,7573
1510272000,0.22529391420904,137,53,6015
1510358400,0.13097209932098,144,66,4742
1510444800,0.05371954710563,151,58,6848
1510531200,0.08049610404348,170,34,6542
1510617600,0.112019350156191,190,44,7666
1510704000,0.004340203047202,185,55,6956
1510790400,0.101405068495816,148,53,5776
1510876800,0.126109566210838,93,74,5769
1510963200,0.130722264738578,101,67,5044
1511049600,-0.002441435206186,98,30,5372
1511136000,0.091112562994511,105,58,7082
1511222400,0.187954459410192,100,81,7676
1511308800,0.075711156054424,94,109,7421
1511395200,0.133436512876759,96,36,8511
1511481600,0.199643595953647,145,48,7984
1511568000,0.136795954356891,189,31,7761
1511654400,0.103871481587594,205,42,8653
1511740800,0.053292363917248,200,26,13638
1511827200,0.032975396755913,190,40,13703
1511913600,0.04363138199975,290,59,18438
1512000000,0.084822175399204,345,70,14850
1512086400,0.118871359375947,88,91,11187
1512172800,0.196259141414257,87,56,9662
1512259200,0.004171243984195,108,39,10086
1512345600,0.118154115091333,118,45,13371
1512432000,0.129655550548585,151,56,13148
1512518400,0.097531218355647,117,82,14076
1512604800,0.252701746460878,90,65,18683
1512691200,0.200135104774377,50,48,17714
1512777600,0.039481397766426,48,45,14021
1512864000,0.134372640783118,51,32,13410
1512950400,0.09200022577793,53,42,16653
1513036800,0.154820597579416,76,66,20202
1513123200,0.137585033265052,92,40,20895
1513209600,0.211456805745192,80,49,16677
1513296000,0.07344661550728,142,54,13704
1513382400,0.163488990951132,126,63,12598
1513468800,0.099576149192264,140,20,13252
1513555200,0.085970879720624,232,32,15059
1513641600,0.201195404147813,248,33,16558
1513728000,0.249133747270871,208,38,14233
1513814400,0.045457299377556,162,41,12161
1513900800,0.120691088156099,83,40,11424
1513987200,0.215824653541064,75,45,9914
1514073600,0.085498887662816,81,38,8511
1514160000,0.246732858561058,110,39,9021
1514246400,0.117081239394209,88,29,10413
1514332800,0.203089765443382,79,23,10883
1514419200,0.107453060331566,99,47,9689
1514505600,0.131255589775765,118,43,9448
1514592000,0.210185189766713,106,43,7678
1514678400,0.046855492545564,101,33,6335
1514764800,0.158064243754889,106,51,6340
1514851200,0.131013150596191,104,41,10701
1514937600,0.251075110400593,106,61,11354
1515024000,0.218278368904161,99,48,12828
1515110400,0.208825554831752,179,36,12177
1515196800,0.113205687739304,175,47,9585
1515283200,0.071293659011996,155,51,11149
1515369600,0.200453245890685,296,42,14735
1515456000,0.174133427788171,273,42,14687
1515542400,0.079953830071186,354,45,17235
1515628800,0.154719572873249,334,45,12743
1515715200,0.198421018415439,219,39,11185
1515801600,0.230885041271707,239,27,10510
1515888000,0.033240534660242,322,27,10156
1515974400,0.15874218577742,287,21,11369
