date,score_twitter,volume_twitter,volume_google
1519977600,0.7101,1,9
1519981200,0.4391,1,9
1519984800,-0.4404,1,9
1519988400,-0.3885,2,9
1519992000,0.016784138733208,1,8
1519995600,0.4404,1,8
1519999200,0.4145,1,8
1520002800,0,0,9
1520006400,0.6705,1,8
1520010000,-0.0727,2,9
1520013600,0.30735,3,9
1520017200,-0.1774,2,9
1520020800,0.565866666666667,3,8
1520024400,0.35522825243946,6,8
1520028000,0.09495,2,8
1520031600,0.35645,2,8
1520035200,0.7351,1,8
1520038800,0.128,1,8
1520042400,0,0,8
1520046000,0.41135,2,8
1520049600,0,0,8
1520053200,0.3182,1,8
1520056800,0,0,9
1520060400,-0.4404,1,9
1520064000,0.3182,1,9
1520067600,0,0,10
1520071200,0,0,10
1520074800,0,0,9
1520078400,-0.037227070383342,3,9
1520082000,0,0,9
1520085600,-0.8469,1,10
1520089200,-0.164504426570935,2,10
1520092800,-0.029279600254054,3,10
1520096400,0.2247,1,10
1520100000,0,0,9
1520103600,0.498725,4,9
1520107200,0.005876507677153,1,9
1520110800,0,0,9
1520114400,0,0,9
1520118000,0,0,9
1520121600,0.038370911919608,1,9
1520125200,0,0,9
1520128800,0.33445843912864,3,9
1520132400,0.134679674455707,3,9
1520136000,-0.25045,2,9
1520139600,0,0,9
1520143200,0,0,9
1520146800,0.4019,1,9
1520150400,0.523384681490683,4,10
1520154000,0.3612,1,11
1520157600,0,0,10
1520161200,-0.5,1,9
1520164800,-0.2213,3,9
1520168400,0,0,9
1520172000,0,0,9
1520175600,0,0,10
1520179200,0.42725,2,10
1520182800,0.14059608100246,3,10
1520186400,0.41622,5,10
1520190000,0.073361932717623,5,10
1520193600,0.052262814076661,4,9
1520197200,0.039270008111118,3,9
1520200800,0.43095,2,9
1520204400,-0.3576,2,9
1520208000,0.5921,2,8
1520211600,0.5412,2,9
1520215200,0.007484917941755,1,9
1520218800,-0.33495,2,8
1520222400,0,0,9
1520226000,0.153348056889288,1,9
1520229600,0.287909340472697,1,9
1520233200,0,0,9
1520236800,0,0,10
1520240400,-0.1531,1,10
1520244000,0,0,9
1520247600,0.47360787323754,2,9
1520251200,0,0,9
1520254800,0.151938412326297,1,9
1520258400,0.2447,3,10
1520262000,0.234159552924832,4,10
1520265600,-0.272150538423125,4,10
